quesId	Q_Id	prompt.Domain	prompt.Elicitation Method	prompt.Target	prompt.content.English-Latin.text.000000.startindex	prompt.content.English-Latin.text.000000.endindex	prompt.content.English-Latin.text.000000.textspan.Latin	prompt.content.Hindi-Devanagari.text.000000.startindex	prompt.content.Hindi-Devanagari.text.000000.endindex	prompt.content.Hindi-Devanagari.text.000000.textspan.Devanagari
	PN2	[General]	Translation	[Pronoun]			She told me something yesterday. 			उसने मुझे कल कुछ बताया था।
	PN3	[General]	Translation	[Pronoun]			We (I + spouse) work on the field everyday.			हमलोग (मै+पति\पत्नी) प्रतिदिन खेतो में काम करते हैं।
	PN4	[General]	Translation	[Pronoun]			Hari invited us (I+spouse) for the festival.			हरि ने हमलोगों को (मैं+पति\पत्नी) त्योहार के लिए बुलाया।
	PN5	[General]	Translation	[Pronoun]			We (the whole family) are going to the market. 			हम (पूरा परिवार) बाजार जा रहे हैं।
	PN6	[General]	Translation	[Pronoun]			You met us (I + my friends) at the market yesterday. 			आप कल बाजार में हमसे (मैं + मेरे दोस्त) मिले थे।
	PN7a	[General]	Translation	[Pronoun]			We (I+s/he, not you) will come to your home tomorrow.			हम (मैं/वो) कल आपके घर आएंगे।
	PN7b	[General]	Translation	[Pronoun]			We (I+s/he, not you) will come to your home tomorrow.			हम कल तुम्हारे घर आएंगे।
	PN8a	[General]	Translation	[Pronoun]			Meet us (I+s/he, not you) at Delhi next week. 			अगले हफ्ते दिल्ली में हमसे (मुझसे\उससे) मिलिए।
	PN9	[General]	Translation	[Pronoun]			We (I + you) can go to his/her home tomorrow. 			हम (मैं + आप\तुम) कल उसके घर जा सकते हैं।
	PN10	[General]	Translation	[Pronoun]			Mother will not allow us (I + you) to go. 			माँ हमें (मुझे/तुम्हें) जाने नहीं देगीं।
	PN11	[General]	Translation	[Pronoun]			You are my student. 			आप मेरे छात्र हैं।
	PN12	[General]	Translation	[Pronoun]			I will tell you a secret.			मै आपको एक राज़ बताऊंगा।
	PN13	[General]	Translation	[Pronoun]			You gave me this book. 			आपने मुझे ये किताब दी।
	PN14	[General]	Translation	[Pronoun]			We invite you to our home. 			हम आपको अपने घर आमंत्रित करते हैं।
	PN15	[General]	Translation	[Pronoun]			You are a nice pair/couple. 			आप एक अच्छी जोड़ी हैं।
	PN16	[General]	Translation	[Pronoun]			She will show you the house. 			वो तुम्हें घर दिखाएगी।
	PN17a	[General]	Translation	[Pronoun]			You will get married next month. 			आपकी शादी अगले महीने होगी।
	PN17b	[General]	Translation	[Pronoun]			You will get married next month. 			तुम्हारी शादी अगले महीने होगी।
	PN18	[General]	Translation	[Pronoun]			I want you to marry each other.			मैं चाहता हूं कि आप​ एक दूसरे से शादी करो।
	PN19a	[General]	Translation	[Pronoun]			You (all) know this person. 			आप (सभी) इस व्यक्ति को जानते हैं।
	PN19b	[General]	Translation	[Pronoun]			You (all) know this person. 			तुम (सभी) इस व्यक्ति को जानते हैं।
	PN20	[General]	Translation	[Pronoun]			I will kill you (all).			मैं तुम (सब) को मार दूंगा।
	PN21	[General]	Translation	[Pronoun]			You (all) please come to my home.			आप (सभी) कृपया मेरे घर आइए।
	PN22	[General]	Translation	[Pronoun]			I respect you (all). 			मैं आप (सभी) का सम्मान करता हूं।
	PN23	[General]	Translation	[Pronoun]			He cooks good pork.			वह सूअर का मांस अच्छा बनाता है।
	PN24	[General]	Translation	[Pronoun]			Tell him to come tomorrow.			उसे कल आने के लिए कहो।
	PN25	[General]	Translation	[Pronoun]			He is my uncle. 			वो मेरे चाचा हैं।
	PN26	[General]	Translation	[Pronoun]			Sarita has not seen him before.			सरिता ने उनको पहले नहीं देखा है।
	PN27	[General]	Translation	[Pronoun]			She is a teacher.			वो एक शिक्षिका है।
	PN28	[General]	Translation	[Pronoun]			You can trust her. 			तुम उस पर भरोसा कर सकते हैं।
	PN29	[General]	Translation	[Pronoun]			She was not able to come today. 			वो आज नहीं आ सकी।
	PN30	[General]	Translation	[Pronoun]			I will tell her you came.			मैं उन्हे बताऊंगा कि तुम आए थे।
	PN31	[General]	Translation	[Pronoun]			It is beautiful!			ये खूबसूरत है!
	PN32	[General]	Translation	[Pronoun]			I liked it. 			मुझे अच्छा लगा।
	PN33	[General]	Translation	[Pronoun]			They (he+he) are twin brothers. 			वे (वह+वह) जुड़वां भाई हैं।
	PN34	[General]	Translation	[Pronoun]			I saw them (he+he) in the morning. 			मैंने उन्हें (वह+वह) सुबह देखा।
	PN35	[General]	Translation	[Pronoun]			They (he+he) like fishing. 			उनको (वह + वह) मछली पकड़ना पसंद है।
	PN36	[General]	Translation	[Pronoun]			My father taught them (he+he) in school.			मेरे पिता ने उन्हें (वह+वह) स्कूल में पढ़ाया था।
	PN37	[General]	Translation	[Pronoun]			They (she+she) are sisters. 			वो (वह + वह) बहनें हैं।
	PN38	[General]	Translation	[Pronoun]			Have you met them (she+she) before? 			क्या आप उनसे (वह+वह) पहले मिले हैं?
	PN39	[General]	Translation	[Pronoun]			They (she+she) fight all the time. 			वे (वह + वह) हर समय लड़ती हैं।
	PN40	[General]	Translation	[Pronoun]			You cannot defeat them (she+she). 			आप उन्हें (वह + वह) हरा नहीं सकते।
	PN41	[General]	Translation	[Pronoun]			They (two kurtas) are nice! (Buy both of them!) 			वे (दो कुर्ते) अच्छे हैं! (दोनों खरीदें!)
	PN42	[General]	Translation	[Pronoun]			I didn't like them (two things).			मैं उन्हें (दो चीजें) पसंद नहीं करता था।
	PN43	[General]	Translation	[Pronoun]			They are my cousin brothers. 			वे मेरे चचेरे भाई हैं।
	PN44	[General]	Translation	[Pronoun]			You haven't met them (my brothers).			तुम उनसे (मेरे भाइयों) नहीं मिले हैं।
	PN45	[General]	Translation	[Pronoun]			They are my cousin sisters. 			वे मेरी चचेरी बहनें हैं।
	PN46	[General]	Translation	[Pronoun]			You haven't met them (my sisters). 			तुम उनसे (मेरी बहनों) नहीं मिले हैं।
	PN47	[General]	Translation	[Pronoun]			They are fake notes. 			वे नकली नोट हैं।
	PN48	[General]	Translation	[Pronoun]			You can easily recognize them (the fake notes).			तुम उन्हें (नकली नोट) आसानी से पहचान सकते हैं।
	Case1	[General]	Translation	[Case]			The girl laughed.			लड़की हँसी।
	Case2	[General]	Translation	[Case]			She cried. 			वो रोई।
	Case3	[General]	Translation	[Case]			I will cough.			मै खांस दूंगा।
	Case4	[General]	Translation	[Case]			He is sleeping. 			वह सो रहा है।
	Case5	[General]	Translation	[Case]			You will run away. 			तुम भाग जाओगे।
	Case6	[General]	Translation	[Case]			They walked near the river. 			वो नदी के पास चले गए थे। 
	Case7	[General]	Translation	[Case]			Ram saw Sita. 			राम ने सीता को देखा।
	Case8	[General]	Translation	[Case]			I saw her.			मैंने उसे देखा था।
	Case9	[General]	Translation	[Case]			She sees the elephant.			वो हाथी को देखती है।
	Case10	[General]	Translation	[Case]			The boy ate the banana.			लड़के ने केला खा लिया।
	Case11	[General]	Translation	[Case]			He liked it. 			उसे ये पसंद आया।
	Case12	[General]	Translation	[Case]			They love us.			वो हमसे प्यार करते हैं।
	Case13	[General]	Translation	[Case]			They kept three pigs in their backyard. 			उन्होंने अपने पिछे के आगंन में तीन सूअर रखे थे।
	Case14	[General]	Translation	[Case]			We saw three men in the backyard.			हमने पिछे के आगंन  में तीन लोगों को देखा।
	Case15	[General]	Translation	[Case]			Sita will meet Ramesh in the evening. 			सीता शाम को रमेश से मिलेंगी।
	Case16	[General]	Translation	[Case]			I am talking to her.			मैं उससे बात कर रहा हूं।
	Case17	[General]	Translation	[Case]			He has eaten the banana. 			उसने केला खा लिया है।
	Case18	[General]	Translation	[Case]			I am happy.			मैं खुश हूं।
	Case19	[General]	Translation	[Case]			He is hungry.			वो भूखा है।
	Case20	[General]	Translation	[Case]			He gave me a flower. 			उसने मुझे एक फूल दिया।
	Case21	[General]	Translation	[Case]			I gave her a fruit. 			मैंने उसे एक फल दिया।
	Case22	[General]	Translation	[Case]			She gave him a banana. 			उसने उसे एक केला दिया।
	Case23	[General]	Translation	[Case]			The girl ate the kheer with a spoon. 			लड़की ने चम्मच से खीर खा ली।
	Case24	[General]	Translation	[Case]			He killed the snake with a stick. 			उसने सांप को डंडे से मार डाला।
	Case25	[General]	Translation	[Case]			The rat came from its hole.			चूहा उसके बिल से निकला।
	Case26	[General]	Translation	[Case]			Bimal fell down from the roof of the house.			बिमल घर की छत से नीचे गिर गया।
	Case27	[General]	Translation	[Case]			I came from Gangtok. 			मैं गंगटोक से आया हूं।
	Case28	[General]	Translation	[Case]			I live in Rhenock.			मैं रेनॉक में रहता हूँ।
	Case29	[General]	Translation	[Case]			The child is sitting in the room. 			बच्चा कमरे में बैठा है।
	Case30	[General]	Translation	[Case]			The bird is sitting on the top of the tree.			चिड़िया पेड़ की चोटी पर बैठी है।
	Case31	[General]	Translation	[Case]			Come at 5 O'clock. 			5 बजे आओ।
	Case32	[General]	Translation	[Case]			Come in the morning/ at sunrise. 			सुबह\सूर्योदय के समय आएं।
	Case33	[General]	Translation	[Case]			Pemila is playing with Nikita. 			पामिला निकिता के साथ खेल रही है।
	Case34	[General]	Translation	[Case]			He will go with us.			वो हमारे साथ जाएगा।
	Case35	[General]	Translation	[Case]			Pemila's father is good.			पामिला के पिता/पापा अच्छे हैं।
	Case36	[General]	Translation	[Case]			This is the house of my grandpa. 			ये मेरे दादाजी का घर है।
	Case37	[General]	Translation	[Case]			I saw her brother. 			मैंने उसके भाई को देखा।
	Case38	[General]	Translation	[Case]			The leg of the stool is broken. 			मेरे पट्टे का पैर टूट गया है।
	Case39	[General]	Translation	[Case]			My father's sister is coming tomorrow. 			मेरे पिता की बहन कल आ रही है।
	Case40	[General]	Translation	[Case]			Madan! Come here.			मदन! यहाँ आओ।
	Case41	[General]	Translation	[Case]			Pemil is going to Siliguri tomorrow.			पेमिल कल सिलीगुड़ी जा रहे हैं।
	Case42	[General]	Translation	[Case]			The sun is moving towards the west. 			सूरज पश्चिम की ओर बढ़ रहा है।
	Case43	[General]	Translation	[Case]			Your book is heavy.			आपकी किताब भारी है।
	Case2.1	[General]	Translation	[Case]			Radha is sleeping.			राधा सो रही है।
	Case2.2	[General]	Translation	[Case]			He is sleeping.			वह सो रहा है। 
	Case2.3	[General]	Translation	[Case]			He kicked the ball.			उसने गेंद को मारा।
	Case2.4	[General]	Translation	[Case]			She loves me.			वह मुझसे प्यार करती है।
	Case2.5	[General]	Translation	[Case]			Radha loves her (someone else).			राधा उससे प्यार करती है।
	Case2.6	[General]	Translation	[Case]			They love us.			वे लोग हमसे प्यार करते हैं।
	Case2.7	[General]	Translation	[Case]			He cut the tree with an axe.			उसने एक कुल्हाड़ी से पेड़ को काटा।
	Case2.8	[General]	Translation	[Case]			I came by bus.			मैं बस से आया।
	Case2.9	[General]	Translation	[Case]			Raja gave a flower to his wife.			राजा ने अपनी पत्नी को एक फूल दिया।
	Case2.10	[General]	Translation	[Case]			Radha went with Ramesh to the town.			राधा रमेश के साथ शहर गयी।
	Case2.11	[General]	Translation	[Case]			Father bought a toy for his son.			पिता ने अपने बेटे के लिए एक खिलौना खरीदा।
	Case2.12	[General]	Translation	[Case]			He is working only for his family.			वह सिर्फ अपने परिवार के लिए काम कर रहा है।
	Case2.13	[General]	Translation	[Case]			I am hungry.			मैं भूखा हूँ।
	Case2.14	[General]	Translation	[Case]			I have a headache.			मुझे सरदर्द है।
	Case2.15	[General]	Translation	[Case]			She will come from Kolkata.			वह कलकत्ता से आएगी।
	Case2.16	[General]	Translation	[Case]			Leaves are falling down from the tree.			पत्तियाँ पेड़ से नीचे गिर रही हैं।
	Case2.17	[General]	Translation	[Case]			I saw her brother.			मैंने उसके भाई को देखा।
	Case2.18	[General]	Translation	[Case]			The latch of the door is broken.			दरवाजे की कुण्डी टूटी है।
	Case2.19	[General]	Translation	[Case]			They kept three pigs in their backyard.			उनलोगो ने अपने घर के पीछे तीन सूअर पाल रखे हैं 
	Case2.20	[General]	Translation	[Case]			My sister is in school.			मेरी बहन विद्यालय में है।
	Case2.21	[General]	Translation	[Case]			Radha lives in Mizoram.			राधा मिजो़रम में रहती है।
	Case2.22	[General]	Translation	[Case]			He might come tomorrow.			वह शायद ही कल आये। 
	Case2.23	[General]	Translation	[Case]			My friend's sister was ill.			मेरे दोस्त की बहन बीमार थी।
	AD1	[General]	Translation	[Adposition]			The cow is in front of the house.			गाय घर के सामने है।
	AD2	[General]	Translation	[Adposition]			Our school is behind the mountain.			हमारा स्कूल पहाड़ के पीछे है।
	AD3	[General]	Translation	[Adposition]			The monkey is on top of the tree.			बंदर पेड़ के ऊपर है।
	AD4	[General]	Translation	[Adposition]			Bimal's house is near my house.			बिमल का घर मेरे घर के पास ही है।
	AD5	[General]	Translation	[Adposition]			Bimal is sleeping by the river side.			बिमल नदी किनारे सो रहा है।
	AD6	[General]	Translation	[Adposition]			The pen is on the edge of the table.			कलम मेज के किनारे पर है।
	AD7	[General]	Translation	[Adposition]			The cup is under the bed.			कप बिस्तर के नीचे है।
	AD8	[General]	Translation	[Adposition]			I will wait for you till the evening.			मैं शाम तक तुम्हारा इंतज़ार करूँगा।
	AD9	[General]	Translation	[Adposition]			Bring water for cooking.			खाना पकाने के लिए पानी लाओ।
	AD10	[General]	Translation	[Adposition]			He came before the dinner.			वह रात के खाने से पहले आया था।
	AD11	[General]	Translation	[Adposition]			Suman came from the town.			सुमन शहर से आई थी।
	AD12	[General]	Translation	[Adposition]			Nima dropped the ball into the pond.			नीमा ने गेंद को तालाब में गिरा दिया।
	AD13	[General]	Translation	[Adposition]			Nima came out from the cave.			नीमा गुफा से निकली।
	AD14	[General]	Translation	[Adposition]			The water is beneath the bridge.			पानी पुल के नीचे है।
	AD15	[General]	Translation	[Adposition]			The pen is inside the bag.			कलम बैग के अंदर है।
	AD16	[General]	Translation	[Adposition]			The pen is outside the bag.			कलम बैग के बाहर है।
	AD17	[General]	Translation	[Adposition]			The book is on the table.			पुस्तक मेज पर है।
	AD18	[General]	Translation	[Adposition]			The lamp is over the table.			लैम्प मेज के ऊपर है।
	AD19	[General]	Translation	[Adposition]			The river is beside the mountain.			नदी पहाड़ के पास है।
	AD20	[General]	Translation	[Adposition]			The child played while the mother worked.			माँ के काम करने के दौरान बच्चा खेलता था।
	CL1	[General]	Translation	[Classifier]			Give me a book. 			मुझे एक किताब दो।
	CL2	[General]	Translation	[Classifier]			My mother has a hen and a cock. 			मेरी माँ के पास एक मुर्गी और एक मुर्गा है।
	CL3	[General]	Translation	[Classifier]			Dogs are barking. 			कुत्ते भोंक रहे हेँ।
	CL4	[General]	Translation	[Classifier]			Take two sheets of thin papers.			पतले कागज की दो शीट लें।
	CL5	[General]	Translation	[Classifier]			Three girls and four boys came yesterday.			कल तीन लड़कियां और चार लड़के आए।
	CL6	[General]	Translation	[Classifier]			The boy saw the girl. 			लड़के ने लड़की को देखा।
	CL7a	[General]	Translation	[Classifier]			He saw a girl there. 			उसने वहाँ एक लड़की देखी।
	CL7b	[General]	Translation	[Classifier]			He saw some girl there			उसने वहाँ कोई लड़की देखी।
	CL8	[General]	Translation	[Classifier]			Children like to play in the water. 			बच्चे पानी में खेलना पसंद करते हैं।
	CL9	[General]	Translation	[Classifier]			There is no water in the tank. 			टंकी में पानी नहीं है।
	CL10	[General]	Translation	[Classifier]			All the girls went to the Mela.			सभी लड़कियां मेले में गईं।
	CL11	[General]	Translation	[Classifier]			Longish bamboo was lying there. 			लम्बा सा बाँस वहाँ पड़ा था।
	CL12	[General]	Translation	[Classifier]			Round moon can be seen on Poornima.			पूर्णिमा पर गोल चाँद देखा जा सकता है।
	CL13	[General]	Translation	[Classifier]			This is a tall tree. 			यह एक लंबा पेड़ है।
	CL14	[General]	Translation	[Classifier]			This plank is thick.			यह तख्ता मोटा होता है।
	CL15	[General]	Translation	[Classifier]			Give me a small banana. 			मुझे एक छोटा केला दो।
	CL16	[General]	Translation	[Classifier]			This is a log. 			यह एक लकड़ी का लट्रठा है।
	CL17	[General]	Translation	[Classifier]			That is a bamboo rope. 			वह बांस की रस्सी है।
	CL18	[General]	Translation	[Classifier]			We built the house with stones. 			हमने पत्थरों से घर बनाया है।
	CL19	[General]	Translation	[Classifier]			Tie them with a cotton thread.			उन्हें सूती धागे से बांध दें।
	CL20	[General]	Translation	[Classifier]			Go and buy some ripe fruits.			जाओ और कुछ पके फल खरीदो।
	CL21	[General]	Translation	[Classifier]			I ate one piece of meat from your tiffin. 			मैंने तुम्हारे टिफिन में से एक मांस का टुकड़ा खाया।
	CL22	[General]	Translation	[Classifier]			Maya brought a bunch of bananas. 			माया केले का एक गुच्छा ले आई।
